brandId,tagIds
1,[]
2,"[3, 5, 12, 7, 2, 43, 36, 6, 23, 48, 34, 24, 9, 65, 30, 40, 100, 242, 205, 38]"
3,"[3, 27, 167, 242, 7, 5, 94]"
4,"[105, 242, 7, 225, 3, 235, 123]"
5,"[23, 36, 20, 34, 12]"
7,[]
8,"[75, 94]"
9,"[5, 6, 2, 67, 52, 97, 9, 12, 38, 147, 23, 113, 40, 7, 126, 167, 211, 42, 61, 192]"
10,"[3, 7, 202, 12, 6, 19, 5, 30, 2, 100, 126, 36, 65, 94, 224, 21, 25, 32, 26, 9]"
11,"[22, 5, 3, 106, 6, 93, 12, 34, 7, 26, 170, 50, 19, 159, 2, 17, 100, 9, 88, 30]"
12,"[45, 6, 80, 2, 12, 26, 27, 48, 5, 100, 17, 7, 20, 126, 3, 206, 23, 241, 42, 67]"
14,[25]
15,[]
17,"[25, 5, 73, 19, 2, 216, 12, 6, 17, 34, 109, 175, 235]"
18,"[152, 61, 22, 16, 126, 24, 224]"
19,"[5, 80, 2, 20, 77, 45, 6, 17, 145, 12, 26, 7, 24, 48, 100, 23, 9, 169, 38, 93]"
20,"[5, 7, 23, 45, 12, 209, 20, 42, 26, 2, 17, 3, 6, 40, 75, 169, 147, 242, 24, 30]"
21,"[169, 26, 6, 12, 42, 147, 5, 7, 24, 241, 17, 20, 90, 230, 95, 67, 38, 75, 23, 2]"
22,"[148, 5, 7]"
23,[172]
24,[21]
27,[199]
28,"[5, 3, 12, 7, 209, 26, 71, 40, 24, 2, 23, 48, 126, 32, 169, 6, 240, 9, 242, 95]"
29,"[30, 126, 22]"
31,"[27, 170]"
32,"[6, 5, 12, 2, 3, 7, 26, 77, 100, 17, 24, 20, 80, 27, 169, 9, 32, 145, 25, 23]"
34,"[3, 145, 5, 7, 6, 12, 2, 100, 9, 36, 23, 65, 17, 83, 43, 20, 26, 48, 34, 95]"
35,"[83, 26]"
37,"[139, 88]"
38,"[212, 40, 117, 100, 12, 25, 90, 36]"
41,"[6, 2, 26, 48, 213, 80, 12, 5, 143, 100, 24, 126, 17, 67, 7, 97, 109, 32, 34, 42]"
42,"[3, 173, 171, 7, 235]"
43,"[5, 27, 3, 2, 7, 23, 17, 12, 100, 32, 34, 19, 73, 33, 22, 16, 6, 30, 195, 110]"
44,"[119, 17, 110, 131, 24, 33, 3, 94]"
45,"[51, 149, 5]"
46,"[3, 2, 27, 5, 110, 23, 7, 17, 21, 12, 170]"
47,"[2, 3, 5, 7, 12, 184, 100, 24, 20, 223, 9, 23, 17, 22, 30, 202, 94, 239]"
49,"[3, 2, 7, 5, 23, 6, 17, 100, 12, 9, 20, 24, 26, 48, 131, 42, 30, 21, 242, 80]"
51,"[3, 5, 7, 23, 12, 2, 9, 6, 24, 242, 20, 30, 26, 100, 17, 77, 21, 131, 32, 22]"
53,"[5, 71, 12, 17, 3, 23, 20, 94, 9, 22, 2, 32, 126, 40, 7, 95, 229, 77, 97, 34]"
54,"[138, 25]"
55,"[160, 9, 7, 12]"
56,"[145, 204]"
57,"[69, 2, 100, 63, 80, 7, 5, 12, 6, 213, 131, 3, 23, 17, 151, 48, 24, 126, 42, 30]"
58,"[7, 5, 2, 24, 100, 6, 23, 12, 20, 42, 48, 26, 69, 3, 17, 22, 169, 131, 77, 9]"
59,"[213, 80, 128, 2, 63, 100, 187, 7, 6, 12, 69, 24, 48, 5, 42, 23, 17, 72, 3, 97]"
60,"[42, 12, 169, 27, 5, 24, 6, 2, 17, 20, 7, 3, 40, 38, 147, 26, 166, 69, 9, 56]"
61,"[83, 44, 5, 3, 230, 69, 24, 117, 22, 242, 84, 6, 42, 184, 182]"
62,"[2, 5, 80, 48, 100, 21, 12, 67, 23, 24, 72, 42, 17, 7, 30, 32, 105, 9, 34, 6]"
63,"[80, 2, 48, 100, 12, 26, 6, 5, 32, 7, 17, 109, 45, 42, 20, 30, 93, 22, 126, 63]"
64,"[2, 93, 48, 20, 27]"
65,[]
66,"[5, 48, 2, 7, 12, 21, 23, 20, 32, 6, 9, 145, 16, 3, 17, 100, 29, 152, 24, 40]"
67,"[27, 42, 242, 24, 3, 12, 5, 7]"
68,"[3, 80, 7, 12, 6, 5, 26, 21, 2, 100, 225, 36, 9, 48, 242, 235, 17, 98, 23, 126]"
69,[]
70,"[30, 24, 25, 100, 9, 7, 3]"
71,"[5, 7, 3, 2, 20, 12, 48, 6, 77, 21, 9, 100, 25, 242, 40, 38, 30, 65, 36, 32]"
72,"[71, 6, 2, 26, 5, 48, 12, 80, 20, 51, 100, 7, 147, 45, 17, 3, 38, 22, 40, 56]"
73,"[6, 5, 2, 77, 12, 20, 24, 7, 26, 17, 48, 169, 9, 100, 147, 23, 32, 36, 38, 25]"
74,"[24, 7, 5, 3]"
77,"[5, 3, 2, 72, 9, 6, 240, 12, 24, 216, 23, 26, 100, 7, 97, 27, 17, 209, 131, 45]"
78,"[5, 2, 3, 12, 17, 7, 80, 100, 9, 56, 30, 20, 32, 65, 22, 126, 19, 147, 6, 38]"
79,"[42, 2, 63, 6, 12, 121, 69, 100, 128, 26, 146, 72, 5, 80, 17, 30, 235, 123, 7, 50]"
80,[235]
81,"[3, 5, 7, 12, 2, 43, 36, 19, 27, 22, 23, 6, 100, 9, 77, 20, 25, 26, 205, 126]"
82,[145]
83,"[5, 12, 2, 6, 3, 100, 7, 216, 9, 17, 95, 26, 22, 38, 32, 45, 20, 42, 93, 40]"
84,"[206, 196, 138, 19, 9, 5, 7, 12]"
85,"[185, 202]"
86,"[32, 38, 25, 12]"
87,[]
88,"[151, 2, 95]"
89,"[6, 12, 3, 7, 36, 27, 25, 5, 9, 17, 26, 21, 2, 20, 100, 65, 42, 56, 22, 43]"
91,"[151, 224, 36, 43, 16, 51, 204, 139, 2, 5, 184, 209]"
92,"[80, 2, 5, 3, 24, 12, 7, 48, 100, 23, 17, 241, 20, 6, 131, 21, 126, 169, 67, 19]"
93,[3]
95,[]
96,"[45, 5, 2, 3, 12, 7, 80, 145, 26, 9, 17, 6, 23, 34, 19, 36, 100, 21, 113, 25]"
97,"[12, 5, 2, 17, 6, 75, 24, 3, 26, 23, 7, 38, 63, 213, 20, 150, 9, 30, 36, 100]"
98,"[2, 72, 12, 45, 5, 63, 17, 20, 100, 6, 7, 137, 24, 9, 109, 226, 38, 30, 36, 48]"
99,[185]
100,"[3, 100, 2, 5, 7, 6, 12, 17, 42, 23, 9, 38, 21, 20, 98, 126, 24, 69, 30, 48]"
